Angle(Degrees)    Distance(m)

0                46

2                3

4                3

6                3

8                34

10                3

12                3

14                3

16                34

18                3

20                3

22                34

24                34

26                34

28                34

30                34

32                35

34                34

36                37

38                36

40                36

42                38

44                38

46                38

48                40

50                40

52                40

54                40

56                43

58                45

60                45

62                49

64                50

66                54

68                54

70                54

72                58

74                58

76                57

78                58

80                64

82                98

84                109

86                125

88                180

90                180

92                180

94                185

96                97

98                36

100                28

102                30

104                30

106                54

108                223

110                367

112                278

114                447

116                456

118                315

120                261

122                310

124                447

126                447

128                373

130                183

132                230

134                319

136                367

138                485

140                475

142                121

144                220

146                143

148                76

150                43

152                43

154                45

156                43

158                38

160                107

162                475

164                485

166                485

168                166

170                485

172                475

174                485

176                230

178                78

180                107
